From	To
Q2STE9	atpD1
Q2SXU7	fabH
Q2SYH7	wbiB
Q2T3J4	BTH_II2067
Q2T6K1	rpsU3
A0A1W5T746	recA
Q2STB3	BTH_I3344
Q2STB5	BTH_I3342
Q2STB7	BTH_I3340
Q2STB8	BTH_I3339
Q2STC0	phhA
Q2STC1	BTH_I3336
Q2STC2	BTH_I3335
Q2STC6	BTH_I3331
Q2STC7	BTH_I3330
Q2STC8	BTH_I3329
Q2STD3	BTH_I3324
Q2STD9	BTH_I3318
Q2STE0	BTH_I3317
Q2STE3	atpB-1
Q2STE4	atpE
Q2STF2	BTH_I3305
Q2STF6	BTH_I3301
Q2STF7	BTH_I3300
Q2STG7	BTH_I3290
Q2STH1	BTH_I3286
Q2STH5	eutB
Q2STI0	BTH_I3276
Q2STJ4	BTH_I3261
Q2STJ8	BTH_I3257
Q2STJ9	BTH_I3256
Q2STK1	gcvH
Q2STK3	BTH_I3252
Q2STK4	sdaA-1
Q2STK5	BTH_I3250
Q2STK8	BTH_I3247
Q2STL3	BTH_I3242
Q2STL5	dnaN
Q2STN0	BTH_I3225
Q2STN2	BTH_I3223
Q2STN5	BTH_I3220
Q2STN6	BTH_I3219
Q2STP4	BTH_I3211
Q2STP5	BTH_I3210
Q2STP6	BTH_I3209
Q2STP8	BTH_I3207
Q2STQ1	BTH_I3204
Q2STQ3	BTH_I3202
Q2STQ9	BTH_I3196
Q2STR2	BTH_I3193
Q2STR3	BTH_I3192
Q2STR6	BTH_I3189
Q2STS2	BTH_I3183
Q2STS3	BTH_I3182
Q2STS4	BTH_I3181
Q2STS5	BTH_I3180
Q2STS9	BTH_I3176
Q2STT0	BTH_I3175
Q2STT1	BTH_I3174
Q2STT2	BTH_I3173
Q2STT6	flhA
Q2STT7	BTH_I3168
Q2STT9	fliA
Q2STU2	metF
Q2STU5	BTH_I3160
Q2STU6	BTH_I3159
Q2STU7	BTH_I3158
Q2STV0	BTH_I3155
Q2STV2	BTH_I3153
Q2STV4	BTH_I3151
Q2STV6	rsmI
Q2STV8	gmhA
Q2STV9	BTH_I3146
Q2STW8	BTH_I3136
Q2STY2	BTH_I3122
Q2STZ0	argC
Q2STZ3	pyrE
Q2STZ4	BTH_I3110
Q2STZ8	hppD
Q2STZ9	BTH_I3105
Q2SU01	BTH_I3103
Q2SU03	paaK
Q2SU05	paaI
Q2SU07	paaG
Q2SU14	nusG
Q2SU47	secY
Q2SU56	BTH_I3039
Q2SU62	msrP
Q2SU64	lysA
Q2SU72	aroB
Q2SU73	BTH_I3022
Q2SU74	BTH_I3021
Q2SU78	BTH_I3017
Q2SU79	BTH_I3016
Q2SU80	BTH_I3015
Q2SU82	BTH_I3013
Q2SU87	BTH_I3008
Q2SU88	thiS
Q2SU90	thiE
Q2SU91	BTH_I3004
Q2SU94	BTH_I3001
Q2SU95	BTH_I3000
Q2SU96	BTH_I2999
Q2SU99	BTH_I2996
Q2SUA0	murA
Q2SUA2	hisD
Q2SUA3	hisC-2
Q2SUA6	hisH
Q2SUB1	BTH_I2984
Q2SUB2	BTH_I2983
Q2SUB9	BTH_I2976
Q2SUC0	BTH_I2975
Q2SUC1	BTH_I2974
Q2SUC2	sspB
Q2SUC4	BTH_I2968
Q2SUC5	BTH_I2967
Q2SUC7	BTH_I2965
Q2SUC8	BTH_I2964
Q2SUC9	BTH_I2963
Q2SUD0	BTH_I2962
Q2SUD3	BTH_I2959
Q2SUD4	BTH_I2958
Q2SUD6	BTH_I2956
Q2SUD7	BTH_I2955
Q2SUD8	BTH_I2954
Q2SUE1	BTH_I2951
